Time,X,Y,r
0,0.0,0.0,0.0
1,0.47354019143652115,0.0,0.47354019143652115
2,0.4742535847270576,4.656891783960867,4.680978268497803
3,0.41241460302882127,5.9511880408201545,5.965460996603049
4,9.84265623654335,7.088925301561505,12.129746234851106
5,9.704224559700425,7.25293432551135,12.115157061931706
6,13.507305505761009,11.410045297233875,17.681528093207625
7,15.036861191470038,13.920797278930985,20.491358944019062
8,13.838298527944826,12.532694702275792,18.66994758024167
9,19.77809530477114,15.54820046687464,25.15789322742926
10,12.732008232968415,11.483254864658011,17.145529327818007
11,13.108533201721844,10.707695502274797,16.925967791239586
12,12.892037744980406,10.438259983445903,16.588004964431605
13,12.498551983903237,10.493362032398824,16.319450004130676
14,12.257064674079235,6.745922732956561,13.990822275462627
15,13.971688359955918,7.774262255007903,15.988972113221294
16,15.998166124095146,9.269240499469186,18.489460207673595
17,13.896494334268436,16.047838628540312,21.22841679047275
18,17.538169786994356,26.43617111135177,31.72473077121556
19,18.85094563778791,25.454068813116905,31.674402450270875
20,19.42050445371173,27.679043554720767,33.8125042749094
21,17.27408547546214,22.91296250474372,28.694910345867328
22,14.744251678385487,24.451809299907307,28.553177329232675
23,19.64619765091083,24.997337982950416,31.79370988690231
24,23.275338338679468,26.502246681133332,35.271949959247294
25,32.615744012422184,26.14807301833539,41.80321136056478
26,36.6759863134827,28.643662180014942,46.53587170290881
27,32.657416344769054,20.022891108899255,38.306957731911126
28,31.456328504761927,19.27208997958918,36.8905686481095
29,25.215790910016114,13.830816326803813,28.75982599883793
30,20.871128209703066,10.693209884307393,23.45098570158006
31,21.249116320394652,10.015351104309797,23.491109001923725
32,24.45125751851684,10.054136963672931,26.437656180552782
33,24.198977348801716,9.750856490549165,26.089647506762205
34,26.27124882653286,0.785955839457424,26.283002900870773
35,29.014484301165762,7.901060116144786,30.07103340794141
36,28.9136850238378,5.485221345135477,29.429387266180587
37,26.755835767057803,6.364237449495484,27.502332008528484
38,26.4843613008321,7.376415821655414,27.492415388375413
39,27.623484520409754,7.428419749063325,28.604865268299925
40,27.858450901377704,8.279678839811956,29.062800421069234
41,19.037044965316536,2.9785655245503975,19.268651576992198
42,37.062841541593244,2.6515503325774286,37.157569111870615
43,37.597165802626535,3.1530766191259807,37.72915011706822
44,37.58128450345612,2.1306716626567073,37.641635281477335
45,36.26414577635219,3.1438275950359347,36.400163747376624
46,38.27394754895565,2.1550001220176167,38.33456777513089
47,41.27503449448125,-7.071825811092257,41.87647541070102
48,41.89326232551753,-11.960134852103614,43.56707763845459
49,45.552270531544146,-13.249500214822259,47.440052766850506
50,51.282287260499096,-11.965707871779044,52.659767864481736
51,50.93654529721524,-16.1123333154221,53.42414184320157
52,52.71699503481818,-22.342940170269877,57.25634061790279
53,54.443952179544475,-27.604521077637735,61.0422272927051
54,53.71621416473525,-34.81498124725799,64.0118315894697
55,53.41489659862021,-34.945720416298826,63.83067095100453
56,52.336090457232984,-40.85675676132153,66.39533822040117
57,51.778056331277575,-40.39517985005355,65.67143726585498
58,46.56462396746261,-38.15848533238766,60.20244353922221
59,45.8536136325946,-31.3343724496062,55.53734581322649
60,44.86220065685902,-31.987474751622834,55.098235804442865
