Time,X,Y,r
0,-750.0,0.0,750.0
1,-749.1264598085635,0.0,749.1264598085635
2,-748.725746415273,4.656891783960867,748.7402286415464
3,-748.3875853969712,5.9511880408201545,748.4112469861781
4,-738.5573437634566,7.088925301561505,738.5913639414313
5,-738.2957754402996,7.25293432551135,738.3314005846721
6,-734.092694494239,11.410045297233875,734.181362636983
7,-732.16313880853,13.920797278930985,732.2954666163378
8,-732.9617014720552,12.532694702275792,733.0688400561783
9,-726.621904695229,15.54820046687464,726.7882352657344
10,-733.2679917670317,11.483254864658011,733.357902318058
11,-732.4914667982783,10.707695502274797,732.5697261525777
12,-732.3079622550198,10.438259983445903,732.3823515443156
13,-732.301448016097,10.493362032398824,732.3766253869762
14,-732.142935325921,6.745922732956561,732.1740129376177
15,-730.0283116400444,7.774262255007903,730.069705541617
16,-727.6018338759052,9.269240499469186,727.6608739509204
17,-729.3035056657319,16.047838628540312,729.4800453069117
18,-725.261830213006,26.43617111135177,725.7434763791872
19,-723.5490543622125,25.454068813116905,723.9966461853223
20,-722.5794955462886,27.679043554720767,723.1094362792073
21,-724.3259145245382,22.91296250474372,724.6882324852202
22,-726.4557483216149,24.451809299907307,726.8671441519122
23,-721.1538023490896,24.997337982950416,721.586913371344
24,-717.1246616613209,26.502246681133332,717.6142065497392
25,-707.3842559875783,26.14807301833539,707.8673656425135
26,-702.9240136865178,28.643662180014942,703.5073762230547
27,-706.5425836552315,20.022891108899255,706.8262436317491
28,-707.3436714952387,19.27208997958918,707.6061638062133
29,-713.1842090899845,13.830816326803813,713.3183073324086
30,-717.1288717902976,10.693209884307393,717.2085913406607
31,-716.350883679606,10.015351104309797,716.420892915816
32,-712.7487424814839,10.054136963672931,712.8196515101284
33,-712.6010226511991,9.750856490549165,712.6677323169852
34,-710.1287511734679,0.785955839457424,710.1291861131823
35,-706.985515698835,7.901060116144786,707.0296642708187
36,-706.686314976163,5.485221345135477,706.7076024975207
37,-708.444164232943,6.364237449495484,708.4727499022292
38,-708.3156386991687,7.376415821655414,708.3540467422949
39,-706.7765154795911,7.428419749063325,706.8155517908763
40,-706.1415490986232,8.279678839811956,706.1900880393987
41,-714.5629550346844,2.9785655245503975,714.5691628950163
42,-696.1371584584077,2.6515503325774286,696.1422082489414
43,-695.2028341973745,3.1530766191259807,695.2099845141958
44,-694.8187154965449,2.1306716626567073,694.821982356634
45,-695.7358542236489,3.1438275950359347,695.7429572078022
46,-693.3260524510454,2.1550001220176167,693.3294015349959
47,-689.9249655055198,-7.071825811092257,689.9612081473097
48,-688.9067376744836,-11.960134852103614,689.0105500200851
49,-684.8477294684569,-13.249500214822259,684.9758841112899
50,-678.717712739502,-11.965707871779044,678.8231815069472
51,-678.6634547027859,-16.1123333154221,678.854691398673
52,-676.483004965183,-22.342940170269877,676.8518766925124
53,-674.3560478204568,-27.604521077637735,674.9208018841558
54,-674.683785835266,-34.81498124725799,675.5814486708867
55,-674.585103401381,-34.945720416298826,675.4896484080759
56,-675.2639095427683,-40.85675676132153,676.4987968237916
57,-675.4219436687237,-40.39517985005355,676.6288292294045
58,-680.2353760325386,-38.15848533238766,681.3048046278489
59,-680.5463863674066,-31.3343724496062,681.2673681415735
60,-681.1377993431422,-31.987474751622834,681.8884807906674
61,-678.3923092363912,-35.1072022636436,679.300111056861
62,-679.1028592169847,-36.77554924669281,680.0978859098738
63,-680.8895348557323,-36.75432841126114,681.880810210273
64,-682.0455431516862,-37.55619847719284,683.0787589854752
65,-675.9633604013446,-36.59687017753536,676.9533185618263
66,-675.5810029235329,-36.5621752449248,676.5696447297995
67,-674.5146458749531,-32.955398583580575,675.3192325083123
68,-674.9260368127871,-35.67906614650575,675.8684420276644
69,-670.1759202925939,-34.24720320579178,671.0503968163971
70,-668.3844451457898,-33.64733732424368,669.2308344822858
71,-668.0882545419009,-33.772932450715544,668.9413478199449
72,-672.795316165146,-28.43009405116436,673.3957289005602
73,-671.1765518920263,-27.95986000546821,671.7586751067643
74,-669.7905628300568,-28.68646151848083,670.4045876414149
75,-671.0801955705286,-29.844966009916703,671.7435156985977
76,-670.1028953633868,-29.377478281940288,670.7465442360474
77,-671.5851802696053,-29.954740686605945,672.2528845957896
78,-670.9608026300666,-27.27244667997753,671.5148434799453
79,-669.620433632503,-25.650864795782876,670.1115519097943
80,-666.9434665237835,-22.663697478453393,667.3284279289741
81,-669.9639484246296,-20.392824515698486,670.2742419938631
82,-669.2952981609102,-20.10098027047055,669.5970770158241
83,-666.7083318003879,-17.768545243543834,666.9450658728408
84,-666.2966686607253,-21.102740675333127,666.6307646159084
85,-667.4832773510988,-21.50839302845439,667.8297211969757
86,-666.2884730683047,-23.90134441960837,666.7170341372401
87,-664.893198755768,-22.65751187337677,665.2791358489828
88,-661.645276838916,-22.548761617197833,662.0293943728744
89,-662.1265787243544,-21.920708927954305,662.4893385807222
90,-663.201692450348,-24.4817767705802,663.6534052220711
91,-661.0747586135269,-28.630682769428972,661.6944555244336
92,-659.63011531797,-30.964803002664517,660.3565007322879
93,-649.3525486045562,-24.1986137308635,649.8032819905791
94,-638.3569554697063,-22.491197320475493,638.7530481754754
95,-648.7935646295332,-25.392687414084318,649.2902879905148
96,-645.4348309317992,-24.22431685847091,645.889261798971
97,-644.8489473544223,-24.416995186602236,645.311052561514
98,-643.9539461872914,-27.522825831999004,644.5418456174615
99,-643.1541817144183,-28.557371388521663,643.7878726081791
100,-642.9884276758021,-28.433619944672532,643.61680281683
